action,tick,distance_cells,heading_change_radians
RIGHT,1,2.186962705774339,-0.6989452766960165
STRAIGHT,pre-pulse,2.6250060329795044,-9.309887207820111e-07
LEFT,1,2.187244689603112,0.6979580951317609
LEFT,2,2.40571166179057,0.9073522645068262
STRAIGHT,pre-pulse,2.406170584223956,-2.3668231739215617e-06
RIGHT,1,2.405724513386064,-0.7688263176742303
RIGHT,2,2.624206680671573,-0.8486633702899207
STRAIGHT,pre-pulse,2.625063711769451,-3.004949227225495e-06
LEFT,1,2.624196879035537,0.7677639422795569
LEFT,2,2.4057175020372803,0.7428290257543486
STRAIGHT,pre-pulse,2.406355171992952,-2.27781268176408e-06
RIGHT,1,2.187240237989081,-0.6989477739887227
STRAIGHT,pre-pulse,2.4062142165962452,1.914543387826484e-06
LEFT,1,2.405722242261921,0.7328446075473497
LEFT,2,2.6242103182916843,0.852517207337459
STRAIGHT,pre-pulse,2.4063400677977342,4.306908989559766e-06
RIGHT,1,2.405709950745561,-0.7338601618389666
RIGHT,2,2.4056935879263053,-0.6639790785553147
STRAIGHT,pre-pulse,2.406237798123342,-1.8840053201962803e-06
LEFT,1,2.6242229386520504,0.7677659158970009
LEFT,2,2.4057193204817233,0.8550280736578748
STRAIGHT,pre-pulse,2.4062541663046453,8.260916562807807e-06
RIGHT,1,2.4057299561848935,-0.7105622285062061
RIGHT,2,2.4057118111921194,-0.8387188737731786
STRAIGHT,pre-pulse,2.4063437753483203,2.713350785832347e-06
LEFT,1,2.6239731233405696,0.7328754479506656
LEFT,2,2.4057169839101387,0.907345209917247
STRAIGHT,pre-pulse,2.625060069882173,-3.1665217332110807e-06
RIGHT,1,2.1872471757942984,-0.6989127499972101
RIGHT,2,2.405717346135693,-0.9086131469034884
RIGHT,3,2.187242925982792,-0.8736416758803465
RIGHT,4,2.4049388973008567,-0.8736539517673076
RIGHT,5,2.187257154189844,-0.8387075941381363
RIGHT,steady,2.4057234178426325,-0.9085234305332923
RIGHT,steady,2.1872446110528445,-0.8561431986106207
RIGHT,steady,2.405733265522544,-0.8911227822636949
RIGHT,steady,2.1872480741803124,-0.7138913731540573
STRAIGHT,pre-pulse,2.4062263044824883,8.564806797117797e-07
LEFT,1,2.4057150122806634,0.7328570119325106
LEFT,2,2.1872277326520098,0.83755323425643
LEFT,3,2.4057159602466647,0.907350945321407
LEFT,4,2.405710016978445,0.8549983424667404
LEFT,5,2.624202136787581,0.8899001163901827
LEFT,steady,2.405730162452967,0.8549942724669028
LEFT,steady,2.624201781819325,0.8899156108058106
LEFT,steady,2.4057080128966732,0.8724524756868366
LEFT,steady,2.6241813350356593,0.8724501739000701
LEFT,steady,2.405718752212989,0.6680384473169667
STRAIGHT,pre-pulse,2.406303510619088,4.608578621612125e-06
RIGHT,1,2.6244599457272804,-0.7863127005238308
RIGHT,2,2.4057234139536243,-0.856171098228133
RIGHT,3,2.6242170141747345,-0.8911370156066845
RIGHT,4,2.623936925392896,-0.838694156632795
RIGHT,5,2.405723732814205,-0.9085959083564905
RIGHT,steady,2.405700883891443,-0.8386937700062971
RIGHT,steady,2.6242136240395886,-0.9085257290760316
RIGHT,steady,2.6239409563581106,-0.8386964235093126
RIGHT,steady,2.405705799758261,-0.9085919256740276
RIGHT,steady,2.623930855081976,-0.6789614958676058
STRAIGHT,pre-pulse,2.4062377539793105,-4.540317746437594e-06
LEFT,1,2.4057234177663456,0.7677480937477463
LEFT,2,2.187245077113457,0.837568969053978
LEFT,3,2.4057121053394153,0.9073481866386293
LEFT,4,2.1872245212646924,0.8375452286449647
LEFT,5,2.405699878385194,0.9073462128929943
LEFT,steady,2.187224142176286,0.8375642304273985
LEFT,steady,2.405719246962195,0.907338140433863
LEFT,steady,2.1872451085845803,0.8375629788328407
LEFT,steady,2.4057366974953394,0.9073445779260361
LEFT,steady,2.1872331308502435,0.837559629029812
LEFT,steady,2.4057195908976268,0.9073339338248783
STRAIGHT,pre-pulse,2.4062229466070653,-2.55861559339543e-06
RIGHT,1,2.6241809432684025,-0.7455033279843901
RIGHT,2,2.405717676642061,-0.8735487753394957
RIGHT,3,2.624191842969693,-0.8736555726174804
RIGHT,4,2.405704843742007,-0.8736411928180035
RIGHT,5,2.624171642332239,-0.8736497071891245
RIGHT,steady,2.4057254084707567,-0.8736642645602579
RIGHT,steady,2.405729391915196,-0.8736560577158095
RIGHT,steady,2.1872351216126162,-0.8736340791561057
RIGHT,steady,2.405716286531112,-0.8735491742660972
RIGHT,steady,2.1872240311716706,-0.8486952018732854
STRAIGHT,pre-pulse,2.4061979334739685,-8.962682663815613e-07
LEFT,1,2.6242056235703326,0.7677656192505538
LEFT,2,2.405718444216294,0.8550098621100384
LEFT,3,2.624182263193463,0.8898947968529844
LEFT,4,2.4057014762427866,0.8550077116287644
LEFT,5,2.62419625691925,0.8898885399650389
LEFT,steady,2.4057137178762042,0.8550131512862347
LEFT,steady,2.6236704213264566,0.9073556619269141
LEFT,steady,2.4057108487690133,0.8375426462964946
LEFT,steady,2.624192556760576,0.8899012214555047
LEFT,steady,2.4057268599627317,0.8550128650669233
LEFT,steady,2.6242048594802623,0.8898950678431952
LEFT,steady,2.4057195699267195,0.8300725506570217
STRAIGHT,pre-pulse,2.406318933802526,-0.01745680367291591
RIGHT,1,2.4057215340270774,-0.7338507828983539
RIGHT,2,2.405727005451387,-0.8736505290020001
RIGHT,3,2.405732529932684,-0.9085697735243043
RIGHT,4,2.405709151942985,-0.8386367298904083
RIGHT,5,2.4057271292294944,-0.8911100347300218
RIGHT,steady,2.1872530388268148,-0.8561750585632373
RIGHT,steady,2.40569188196878,-0.908614427776631
RIGHT,steady,2.1872186933691227,-0.838702281445526
RIGHT,steady,2.4057256542592556,-0.9085961678645509
RIGHT,steady,2.187241175972003,-0.8387167744542596
STRAIGHT,pre-pulse,2.406309329460873,-9.422534354985856e-07
LEFT,1,2.6242185075070124,0.7503632172666319
LEFT,2,2.4057231764278075,0.837540030247633
LEFT,3,2.6241879678510216,0.9073510180321158
LEFT,4,2.405697221798296,0.8375381522483267
LEFT,5,2.6242169987128263,0.9073583760545021
LEFT,steady,2.4057322051526633,0.8550027671881706
LEFT,steady,2.62419238667192,0.8899044788542456
STRAIGHT,pre-pulse,2.406303763155391,6.260946328051631e-07
RIGHT,1,2.187067229463596,-0.6990170893229266
RIGHT,2,2.624219919662952,-0.8736304878594128
RIGHT,3,2.405448009476284,-0.8736438307302414
RIGHT,4,2.4057215819413718,-0.8911462970836741
RIGHT,5,2.4057201169023674,-0.8561534318349677
RIGHT,steady,2.6234175924940177,-0.8561730367425522
RIGHT,steady,2.405727798450047,-0.8911435575589781
RIGHT,steady,2.6241875502812637,-0.873551874959249
