elapsed_s,player_x,player_z,forward,left,right,jump,focused
6.88021,253.00000,86.00000,0,0,0,0,1
6.90012,253.00000,86.00000,0,0,0,0,1
6.92041,253.00000,86.00000,0,0,0,0,1
6.94042,253.00000,86.00000,0,0,0,0,1
6.96013,253.00000,86.00000,0,0,0,0,1
6.98029,253.00000,86.00000,0,0,0,0,1
7.00046,253.00000,86.00000,0,0,0,0,1
7.02004,253.00000,86.00000,0,0,0,0,1
7.04016,253.00000,86.00000,0,0,0,0,1
7.06022,253.00000,86.00000,0,0,0,0,1
7.08022,253.00000,86.00000,0,0,0,0,1
7.10022,253.00000,86.00000,1,0,0,0,1
7.12038,253.07443,86.69603,1,0,0,0,1
7.14015,253.11165,87.04404,1,0,0,0,1
7.16022,253.14886,87.39206,1,0,0,0,1
7.18054,253.18608,87.74007,1,0,0,0,1
7.20033,253.26051,88.43610,1,0,0,0,1
7.22022,253.29773,88.78412,1,0,0,0,1
7.24035,253.33495,89.13213,1,0,0,0,1
7.26024,253.37216,89.48015,1,0,0,0,1
7.28046,253.40938,89.82816,1,0,0,0,1
7.30025,253.48381,90.52419,1,0,0,0,1
7.32007,253.52103,90.87221,1,0,0,0,1
7.34021,253.55824,91.22022,1,0,0,0,1
7.36017,253.59546,91.56824,1,0,0,0,1
7.38041,253.63268,91.91625,1,0,0,0,1
7.40025,253.70711,92.61228,1,0,0,0,1
7.42030,253.74432,92.96030,1,0,0,0,1
7.44047,253.78154,93.30831,1,0,0,0,1
7.46011,253.81876,93.65633,1,0,0,0,1
7.48017,253.85597,94.00434,1,0,0,0,1
7.50041,253.93040,94.70037,1,0,0,0,1
7.52030,254.00484,95.39640,1,0,0,0,1
7.54007,254.04205,95.74442,1,0,0,0,1
7.56049,254.07927,96.09243,1,0,0,0,1
7.58042,254.11649,96.44044,1,0,0,0,1
7.60015,254.19092,97.13647,1,0,0,0,1
7.62056,254.22813,97.48449,1,0,0,0,1
7.64022,254.26535,97.83250,1,0,0,0,1
7.66054,254.30257,98.18052,1,0,0,0,1
7.68052,254.33978,98.52853,1,0,0,0,1
7.70032,254.41422,99.22456,1,0,0,0,1
7.72053,254.45143,99.57258,1,0,0,0,1
