category	path	sha256	observation_shape	action_space	policy_module	policy_qualname	metadata_version	lineage_or_role_evidence	pre_phase2_reference	uniquely_selected_by_existing_evidence
canonical_advanced_ppo	flyff_farming_simulator/models/canonical_advanced_ppo_210k_rehearsed.zip	0d788335f89caffd682580e7097823fdd7430ccd7932735e71653b3ae75f420e	[925]	nvec=[3, 3]	simulator.split_branch_policy	SplitSteeringNavigationPolicy	ABSENT	rehearsed_variant	yes	no
canonical_advanced_ppo	flyff_farming_simulator/models/canonical_advanced_ppo_220k.zip	f0aa1ee6da5e55965caf06ec0f9ffbdee253b77cd5b3098b27a64da5340717ab	[925]	nvec=[3, 3]	simulator.split_branch_policy	SplitSteeringNavigationPolicy	ABSENT	step_or_index=220	yes	no
canonical_advanced_ppo	flyff_farming_simulator/models/canonical_advanced_ppo_220k_rehearsed.zip	8c904b26308c8cf230ee03223ef8269a75a4950298135eb88a7186388c5b98aa	[925]	nvec=[3, 3]	simulator.split_branch_policy	SplitSteeringNavigationPolicy	ABSENT	rehearsed_variant	yes	no
canonical_advanced_ppo	flyff_farming_simulator/models/canonical_advanced_ppo_230k.zip	66a496a7698b5c278cf26a775291097808dbfa6a2a153332f25131731bdbd45c	[925]	nvec=[3, 3]	simulator.split_branch_policy	SplitSteeringNavigationPolicy	ABSENT	step_or_index=230	yes	no
era_925	flyff_farming_simulator/models/_quarantine/canonical_basic_bootstrap_BROKEN_event_head_never_learned_eva_20260808.zip	d090da4f506655d86483c8bad1f062647a63dfe7c681ab3021fb0a0f03e6bb80	[925]	nvec=[3, 3]	simulator.split_branch_policy	SplitSteeringNavigationPolicy	ABSENT	quarantined_BROKEN	yes	no
era_925	flyff_farming_simulator/models/_quarantine/canonical_basic_bootstrap_BROKEN_steering_and_event_collapse_20260807.zip	a584ff711283d3ecd8313b0aba30b55a676926beffe5245a9613640210b89ffb	[925]	nvec=[3, 3]	simulator.split_branch_policy	SplitSteeringNavigationPolicy	ABSENT	quarantined_BROKEN	yes	no
era_925	flyff_farming_simulator/models/_quarantine/canonical_basic_milestone_001_BROKEN_event_head_never_learned_eva_20260808.zip	2f79371a21771e9beaa8d2901e82f18d4d7f624e1e729b58f48f0a9672728796	[925]	nvec=[3, 3]	simulator.split_branch_policy	SplitSteeringNavigationPolicy	ABSENT	quarantined_BROKEN	yes	no
era_925	flyff_farming_simulator/models/_quarantine/canonical_basic_milestone_002_BROKEN_event_head_never_learned_eva_20260808.zip	e5647f903430af9396f7abc7aa5212e4cc86f9f840697ff4d666474ddd8f842c	[925]	nvec=[3, 3]	simulator.split_branch_policy	SplitSteeringNavigationPolicy	ABSENT	quarantined_BROKEN	yes	no
era_925	flyff_farming_simulator/models/_quarantine/canonical_basic_milestone_003_BROKEN_event_head_never_learned_eva_20260808.zip	a92ff0b7d6c6be95d9d3d5e38f55d3aa4d97517843b5a6aaad47294e25e3aa9c	[925]	nvec=[3, 3]	simulator.split_branch_policy	SplitSteeringNavigationPolicy	ABSENT	quarantined_BROKEN	yes	no
era_925	flyff_farming_simulator/models/_quarantine/canonical_basic_milestone_004_BROKEN_event_head_never_learned_eva_20260808.zip	2dfc43affc7fb25df63a7981ded64a6e398931ee18e3e634b659b6be1425bfb1	[925]	nvec=[3, 3]	simulator.split_branch_policy	SplitSteeringNavigationPolicy	ABSENT	quarantined_BROKEN	yes	no
era_925	flyff_farming_simulator/models/_quarantine/canonical_beginner_graduated_PROVISIONAL_OLD_COLLISION_BAR_20260808.zip	1b930ebf0540ee028736732588ebc14c3a710b742e3c843efdbc21f3b1544b89	[925]	nvec=[3, 3]	simulator.split_branch_policy	SplitSteeringNavigationPolicy	ABSENT	quarantined_PROVISIONAL	yes	no
era_925	flyff_farming_simulator/models/_quarantine/canonical_intermediate_graduated_PROVISIONAL_OLD_COLLISION_BAR_20260808.zip	4261f62b38fa72eaa28eb7e501dc9ef883358a870545e4831844db7bc3b14daa	[925]	nvec=[3, 3]	simulator.split_branch_policy	SplitSteeringNavigationPolicy	ABSENT	quarantined_PROVISIONAL	yes	no
era_925	flyff_farming_simulator/models/canonical_advanced_ppo_010k.zip	8b6521cab20b642f8f8ed6e1c4c0aad50cafffec77b9fec6d52177c5a4f0fd3f	[925]	nvec=[3, 3]	simulator.split_branch_policy	SplitSteeringNavigationPolicy	ABSENT	step_or_index=010	yes	no
era_925	flyff_farming_simulator/models/canonical_advanced_ppo_010k_rehearsed.zip	0150909c5db6f4d5ec4e44dd607a0de638ce66f30d5c6b48b8d089f5b6b14313	[925]	nvec=[3, 3]	simulator.split_branch_policy	SplitSteeringNavigationPolicy	ABSENT	rehearsed_variant	yes	no
era_925	flyff_farming_simulator/models/canonical_advanced_ppo_020k.zip	3b7139d0e36ac59e66c0099c125e133b58aa68c68b1ff34e8180da898317d1e8	[925]	nvec=[3, 3]	simulator.split_branch_policy	SplitSteeringNavigationPolicy	ABSENT	step_or_index=020	yes	no
era_925	flyff_farming_simulator/models/canonical_advanced_ppo_020k_rehearsed.zip	ff1bd1449d6cb99fa4f283f20b93321483c9d39b2976a422210b6b2b32433f05	[925]	nvec=[3, 3]	simulator.split_branch_policy	SplitSteeringNavigationPolicy	ABSENT	rehearsed_variant	yes	no
era_925	flyff_farming_simulator/models/canonical_advanced_ppo_030k.zip	c2af113c9fdc7ceb07d7ceb3ac0f9b34791abd0fee11ae22767b694932eebc32	[925]	nvec=[3, 3]	simulator.split_branch_policy	SplitSteeringNavigationPolicy	ABSENT	step_or_index=030	yes	no
era_925	flyff_farming_simulator/models/canonical_advanced_ppo_030k_rehearsed.zip	c2e7cb7970b6236754e66c2ce6801f8cfb060d30b4665a57f0bd7d032bf672bb	[925]	nvec=[3, 3]	simulator.split_branch_policy	SplitSteeringNavigationPolicy	ABSENT	rehearsed_variant	yes	no
era_925	flyff_farming_simulator/models/canonical_advanced_ppo_040k.zip	61b0c200abbacd2d3f8fa2354d2ef61e06e979797927bf2ab0d2754ce691287c	[925]	nvec=[3, 3]	simulator.split_branch_policy	SplitSteeringNavigationPolicy	ABSENT	step_or_index=040	yes	no
era_925	flyff_farming_simulator/models/canonical_advanced_ppo_040k_rehearsed.zip	12767eb6248f1d56bbb5811dd979704b2b72aad6304ba136d96d1a5a8799630f	[925]	nvec=[3, 3]	simulator.split_branch_policy	SplitSteeringNavigationPolicy	ABSENT	rehearsed_variant	yes	no
era_925	flyff_farming_simulator/models/canonical_advanced_ppo_050k.zip	14665c7117472e9c6ce111c1943261b8f26f6fd1477444a5de9c481c5f788040	[925]	nvec=[3, 3]	simulator.split_branch_policy	SplitSteeringNavigationPolicy	ABSENT	step_or_index=050	yes	no
era_925	flyff_farming_simulator/models/canonical_advanced_ppo_050k_rehearsed.zip	85cad4beeaa7f15474ddb5b62d798bf65764f350e69f8dad93c8c6c9a500b216	[925]	nvec=[3, 3]	simulator.split_branch_policy	SplitSteeringNavigationPolicy	ABSENT	rehearsed_variant	yes	no
