action,duration_s,n_ticks,distance_cells,heading_change_radians,focused_all
RIGHT,0.35955999999998767,19,4.686897239520456,-1.1182556909650392,True
LEFT,0.3200300000000027,17,4.048598628647784,0.9073534116901573,True
STRAIGHT,0.27980999999999767,15,3.836257492423046,-1.9099814778655855e-06,True
RIGHT,0.4001700000000028,21,4.189481677165596,-1.4780112828160072,True
RIGHT,0.34009000000000356,18,4.474583940169243,-1.0367876308676327,True
LEFT,0.45977999999999497,24,5.9653548330609745,1.5355087918528065,True
STRAIGHT,0.39990000000000236,21,5.328037563175308,-9.572742445396187e-07,True
RIGHT,0.2798399999999788,15,3.622352023435645,-0.7688420728452958,True
LEFT,0.41976999999999975,22,5.5399848712059905,1.3959013943053782,True
STRAIGHT,0.40001000000000886,21,5.114897705774967,-8.860518152520314e-07,True
RIGHT,0.3999900000000025,21,5.32679627619043,-1.3279488450853778,True
LEFT,0.3600799999999822,19,4.900620549935655,1.141754411619477,True
STRAIGHT,0.4797499999999957,25,6.18054201364822,4.869386015737831e-06,True
RIGHT,0.4398000000000195,23,5.966217989739616,-1.5260268093548544,True
LEFT,0.5599400000000117,29,7.245477052374019,1.9542629757055665,True
STRAIGHT,0.4198200000000156,22,5.541108878764176,3.627452907828399e-06,True
RIGHT,0.41996999999997797,22,5.539903281957154,-1.397844087850365,True
LEFT,0.4400499999999852,23,5.9659474740780745,1.500623398383409,True
STRAIGHT,0.379809999999992,20,5.115016795192093,2.465422583863841e-06,True
RIGHT,0.44013000000001057,23,5.965656107497857,-1.5260349203775747,True
LEFT,0.5797400000000152,30,7.670723271160595,2.082295526077367,True
STRAIGHT,0.4998600000000124,26,6.606979491911442,0.0,True
RIGHT,0.25966999999999985,14,3.622298940528883,-0.7239866256652081,True
LEFT,0.5000900000000001,26,6.605289040099851,1.7448949137143017,True
STRAIGHT,0.4796400000000176,25,6.1806910252037035,-1.3165789525260152e-06,True
RIGHT,0.44044999999999845,23,5.966178622425784,-1.4927643217633544,True
LEFT,0.5599799999999959,29,7.244179485152647,1.9542994724465892,True
STRAIGHT,0.4202200000000005,22,5.5414626245004355,-1.4450299632429164e-06,True
RIGHT,0.5197900000000004,27,6.8184993249230486,-1.8172076836172066,True
LEFT,0.4602199999999925,24,5.966218737800624,1.5355314872882757,True
STRAIGHT,0.3598700000000008,19,4.475582129035054,-8.894446796858801e-07,True
RIGHT,0.5196700000000192,27,7.030238467692944,-1.8072848617617208,True
LEFT,0.5002100000000098,26,6.605332667121832,1.74490542758241,True
STRAIGHT,0.8401900000000069,43,11.295277561733984,0.0,True
RIGHT,1.100149999999985,56,14.488081469194551,-4.321700896667673,True
LEFT,1.179949999999991,60,15.767376129982415,4.711245713928927,True
STRAIGHT,0.74024,38,9.804079897773983,3.879460943601032e-07,True
RIGHT,1.1997399999999914,61,16.1928050361906,-4.822551521482937,True
LEFT,1.019929999999988,52,13.636559104717216,4.048155038668524,True
STRAIGHT,0.8800800000000208,45,11.722011888317793,-3.3451195675660017e-06,True
RIGHT,1.2597500000000252,64,16.40619852115656,-4.997280678014983,True
LEFT,0.7797899999999913,40,10.227436792845745,2.931448502795016,True
STRAIGHT,0.8799799999999891,45,11.509087358998812,-1.4395275602652191e-06,True
RIGHT,1.04001999999997,53,13.8492389656325,-4.078659904603932,True
LEFT,0.9600500000000238,49,12.784368778957065,3.7574246031349907,True
STRAIGHT,0.57974999999999,30,7.672226573741285,0.0,True
RIGHT,1.0798200000000406,55,14.488291466470567,-4.321605008852818,True
LEFT,0.920029999999997,47,12.14500905286334,3.559596102982013,True
STRAIGHT,1.1401900000000182,58,15.131943863573163,4.180179676072093e-06,True
RIGHT,1.2000700000000393,61,15.980784835179355,-4.810886995902201,True
LEFT,1.1999999999999886,61,15.981209760180672,4.7461285118354954,True
STRAIGHT,0.8401099999999815,43,10.86960451615537,-2.6079923319821674e-06,True
