action,duration_s,n_ticks,distance_cells,heading_change_radians,focused_all
STRAIGHT,0.12027999999999395,7,1.2787249678052304,-8.507856197326191e-07,True
RIGHT,0.1398800000000051,8,1.704482761470616,-0.17472714550416457,True
LEFT,0.14006999999999437,8,2.1304697185857573,0.24429443422192199,True
STRAIGHT,0.13960999999999046,8,1.9181108813296703,-3.123049829856228e-06,True
RIGHT,0.09993999999998948,6,1.278490432846705,,True
LEFT,0.12031000000000347,7,1.4916196632878536,0.06979712922675896,True
STRAIGHT,0.12019000000000801,7,1.4918642489628002,0.0,True
RIGHT,0.07956000000000074,5,1.277718615120409,,True
LEFT,0.14016999999999769,8,1.9176157163393732,0.20939144469113846,True
STRAIGHT,0.11982999999999322,7,1.7049866967131035,4.591889923633019e-06,True
RIGHT,0.09975000000000023,6,1.2784862219844073,,True
LEFT,0.12010000000000787,7,1.278498638019825,0.034897439439074196,True
STRAIGHT,0.16008999999999673,9,1.9181123095310204,-1.9875252990075865e-06,True
RIGHT,0.11987000000000592,7,1.7044788224670362,-0.05998326673178833,True
LEFT,0.12039000000001465,7,1.4916103305613564,0.06979556494024686,True
STRAIGHT,0.16007999999999356,9,1.705006802791847,-2.780084666476057e-06,True
RIGHT,0.13965999999999212,8,1.9176078848588907,-0.19807783152763192,True
LEFT,0.13998000000000843,8,1.704726676098346,0.1395882967365274,True
STRAIGHT,0.13997999999998,8,1.9181219129299942,-7.12685533477142e-07,True
RIGHT,0.12002999999998565,7,1.7039550250936801,-0.059985383283003735,True
LEFT,0.1400199999999927,8,1.7047337174895871,0.17449077563086468,True
STRAIGHT,0.12018000000000484,7,1.7049879276894142,-6.217248937900877e-15,True
RIGHT,0.1001799999999946,6,1.2784993627906283,,True
LEFT,0.14012000000002445,8,1.4916324433247998,0.1046922851155756,True
STRAIGHT,0.1402400000000057,8,1.9180996005349504,2.8840374177718786e-06,True
RIGHT,0.11999999999997613,7,1.7047360119099146,-0.09492926759299536,True
LEFT,0.11977000000001681,7,1.491609630746556,0.06979172431445901,True
STRAIGHT,0.11981000000000108,7,1.491857799929488,2.275025170472844e-06,True
RIGHT,0.12009000000000469,7,1.491609882722649,-0.06988952398080461,True
LEFT,0.12027000000000498,7,1.491606162398276,0.06980457672632112,True
