elapsed_s,player_x,player_z,forward,left,right,jump,focused
1.48051,253.00000,86.00000,0,0,0,0,0
1.50030,253.00000,86.00000,0,0,0,0,0
1.52054,253.00000,86.00000,0,0,0,0,0
1.54022,253.00000,86.00000,0,0,0,0,0
1.56019,253.00000,86.00000,0,0,0,0,0
1.58050,253.00000,86.00000,0,0,0,0,0
1.60011,253.00000,86.00000,0,0,0,0,0
1.62057,253.00000,86.00000,0,0,0,0,0
1.64003,253.00000,86.00000,0,0,0,0,0
1.66050,253.00000,86.00000,0,0,0,0,0
1.68035,253.00000,86.00000,0,0,0,0,0
1.70024,253.00000,86.00000,0,0,0,0,0
1.72035,253.00000,86.00000,0,0,0,0,0
1.74009,253.00000,86.00000,0,0,0,0,0
1.76040,253.00000,86.00000,0,0,0,0,0
1.78036,253.00000,86.00000,0,0,0,0,0
1.80052,253.00000,86.00000,0,0,0,0,0
1.82042,253.00000,86.00000,0,0,0,0,0
1.84025,253.00000,86.00000,0,0,0,0,0
1.86027,253.00000,86.00000,0,0,0,0,0
1.88035,253.00000,86.00000,0,0,0,0,0
1.90008,253.00000,86.00000,0,0,0,0,0
1.92036,253.00000,86.00000,0,0,0,0,0
1.94012,253.00000,86.00000,0,0,0,0,0
1.96035,253.00000,86.00000,0,0,0,0,0
1.98032,253.00000,86.00000,0,0,0,0,0
2.00044,253.00000,86.00000,0,0,0,0,0
2.02047,253.00000,86.00000,0,0,0,0,0
2.04052,253.00000,86.00000,0,0,0,0,0
2.06021,253.00000,86.00000,0,0,0,0,0
2.08020,253.00000,86.00000,0,0,0,0,0
2.10045,253.00000,86.00000,0,0,0,0,0
2.12050,253.00000,86.00000,0,0,0,0,0
2.14023,253.00000,86.00000,0,0,0,0,0
2.16031,253.00000,86.00000,0,0,0,0,0
2.18048,253.00000,86.00000,0,0,0,0,0
2.20030,253.00000,86.00000,0,0,0,0,0
2.22003,253.00000,86.00000,0,0,0,0,0
2.24026,253.00000,86.00000,0,0,0,0,0
2.26048,253.00000,86.00000,0,0,0,0,0
2.28006,253.00000,86.00000,0,0,0,0,0
2.30025,253.00000,86.00000,0,0,0,0,0
2.32032,253.00000,86.00000,0,0,0,0,0
2.34035,253.00000,86.00000,0,0,0,0,0
2.36053,253.00000,86.00000,0,0,0,0,0
2.38027,253.00000,86.00000,0,0,0,0,0
2.40038,253.00000,86.00000,0,0,0,0,0
2.42013,253.00000,86.00000,0,0,0,0,0
2.44047,253.00000,86.00000,0,0,0,0,0
2.46052,253.00000,86.00000,0,0,0,0,0
2.48043,253.00000,86.00000,0,0,0,0,0
2.50020,253.00000,86.00000,0,0,0,0,0
2.52030,253.00000,86.00000,0,0,0,0,0
2.54035,253.00000,86.00000,0,0,0,0,0
2.56010,253.00000,86.00000,0,0,0,0,0
2.58031,253.00000,86.00000,0,0,0,0,0
2.60036,253.00000,86.00000,0,0,0,0,0
2.62046,253.00000,86.00000,0,0,0,0,0
2.64046,253.00000,86.00000,0,0,0,0,0
2.66039,253.00000,86.00000,0,0,0,0,0
2.68017,253.00000,86.00000,0,0,0,0,0
2.70019,253.00000,86.00000,0,0,0,0,0
2.72016,253.00000,86.00000,0,0,0,0,0
2.74003,253.00000,86.00000,0,0,0,0,0
2.76019,253.00000,86.00000,0,0,0,0,0
2.78047,253.00000,86.00000,0,0,0,0,0
2.80007,253.00000,86.00000,0,0,0,0,0
2.82025,253.00000,86.00000,0,0,0,0,0
2.84051,253.00000,86.00000,0,0,0,0,0
2.86012,253.00000,86.00000,0,0,0,0,0
2.88028,253.00000,86.00000,0,0,0,0,0
2.90018,253.00000,86.00000,0,0,0,0,0
2.92043,253.00000,86.00000,0,0,0,0,0
2.94034,253.00000,86.00000,0,0,0,0,0
2.96042,253.00000,86.00000,0,0,0,0,0
2.98007,253.00000,86.00000,0,0,0,0,0
3.00024,253.00000,86.00000,0,0,0,0,0
3.02031,253.00000,86.00000,0,0,0,0,0
3.04024,253.00000,86.00000,0,0,0,0,0
3.06043,253.00000,86.00000,0,0,0,0,0
3.08027,253.00000,86.00000,0,0,0,0,0
3.10049,253.00000,86.00000,0,0,0,0,0
3.12026,253.00000,86.00000,0,0,0,0,0
3.14045,253.00000,86.00000,0,0,0,0,0
3.16056,253.00000,86.00000,0,0,0,0,0
3.18038,253.00000,86.00000,0,0,0,0,0
3.20054,253.00000,86.00000,0,0,0,0,0
3.22031,253.00000,86.00000,0,0,0,0,0
3.24047,253.00000,86.00000,0,0,0,0,0
3.26040,253.00000,86.00000,0,0,0,0,0
3.28053,253.00000,86.00000,0,0,0,0,0
3.30026,253.00000,86.00000,0,0,0,0,0
3.32042,253.00000,86.00000,0,0,0,0,0
3.34003,253.00000,86.00000,0,0,0,0,0
3.36048,253.00000,86.00000,0,0,0,0,0
3.38043,253.00000,86.00000,0,0,0,0,0
3.40010,253.00000,86.00000,0,0,0,0,0
3.42057,253.00000,86.00000,0,0,0,0,0
3.44013,253.00000,86.00000,0,0,0,0,0
3.46036,253.00000,86.00000,0,0,0,0,0
3.48031,253.00000,86.00000,0,0,0,0,0
3.50022,253.00000,86.00000,0,0,0,0,0
3.52032,253.00000,86.00000,0,0,0,0,0
3.54005,253.00000,86.00000,0,0,0,0,0
3.56005,253.00000,86.00000,0,0,0,0,0
3.58025,253.00000,86.00000,0,0,0,0,0
3.60014,253.00000,86.00000,0,0,0,0,0
