action,duration_s,distance_cells,heading_change_radians,focused_all,pre_speed_cells_per_sec,post_speed_early_cells_per_sec,post_heading_settle_radians
RIGHT,0.039560000000001594,0.656000279017478,,True,12.986777024126614,13.114857571972676,2.7508390527675175e-06
LEFT,0.040160000000000196,0.6562284828166237,,True,13.66535379836253,13.84144154452886,0.011629852622907055
RIGHT,0.07956999999999681,1.0937276220068055,,True,13.845132489302394,14.34687206363213,-1.1252917098136805e-06
LEFT,0.08003999999999678,1.0934621726579734,,True,13.843445758665558,12.994347240790688,-1.7226804747139113e-06
RIGHT,0.12017000000000166,1.5309797181729203,-0.06986895600292242,True,13.120169069940788,13.840097048085145,-4.677137750208615e-06
LEFT,0.0998999999999981,1.3122375726347464,,True,13.6840765151149,13.688394884917466,8.102994441427924e-06
RIGHT,0.09976999999999947,1.3122380571416499,,True,13.846692418481144,13.679928645513332,-0.01164037836171139
LEFT,0.060029999999997585,0.8747366983249472,,True,13.846269554275693,13.844766923222537,2.1579751570133254e-06
RIGHT,0.05994999999999351,0.6562461137783437,,True,14.36428367982823,13.664820420870711,-0.011637787016452794
LEFT,0.0800000000000054,1.093484453362129,,True,13.674209691318907,13.839253051716678,2.0404528409123657e-06
RIGHT,0.100360000000002,1.311968096376388,,True,13.849839545449763,13.846464675328521,-4.289278556113274e-06
LEFT,0.0796100000000024,1.0937458112876317,,True,13.694693193422063,13.852074052371467,0.011627425654961998
RIGHT,0.059799999999995634,0.8747254995394979,,True,13.842352395789444,13.853175039324073,2.6645352591003757e-15
LEFT,0.07990000000000208,1.0934749620538502,,True,13.843485245505551,14.351342642332417,0.01162390386699097
RIGHT,0.10023999999999944,1.3122277796532684,,True,13.849393614330465,13.666946222515527,-4.503382337484041e-06
LEFT,0.07959999999999923,1.0934886509600688,,True,12.999840139154152,13.849431955967708,-3.7928757534722024e-07
RIGHT,0.06015000000000015,0.8747356023110255,,True,13.679027507981722,13.849520621819343,-0.011641942355262724
LEFT,0.09993000000000052,1.3122291450339978,,True,13.666294792772751,13.851397391443147,-1.0718539587006859e-06
RIGHT,0.1601700000000008,2.405622413123985,-0.2708800021629667,True,13.121082213908869,14.350407740951175,1.7536790912764388e-06
LEFT,0.15962999999999994,2.1872317591041095,0.23439534526715589,True,13.687583774600538,,
RIGHT,0.2599599999999995,3.499197175371992,-0.6989119527509263,True,13.669343874366474,14.369476352044737,-0.011644464890264883
LEFT,0.5599899999999991,7.654393371718808,1.9891925671458275,True,13.121530551238973,14.349657178892247,0.011628589479845353
RIGHT,0.7801100000000005,10.716084620029154,-2.9605002798983735,True,13.667999373482186,13.674289558271347,-8.659739592076221e-15
LEFT,0.8999299999999977,12.465544590472582,3.489802406574417,True,13.123979624716515,13.838926251244814,-6.217248937900877e-15
RIGHT,0.9202000000000012,12.684262280959091,-3.599440523369855,True,13.6701493531726,13.682738220119445,-0.011647168210204617
LEFT,0.8599099999999993,11.809599270772557,3.3502264707352962,True,13.853872725844266,13.848275127916178,-7.317861356881394e-07
RIGHT,0.7803699999999907,10.716072455565113,-2.9704063843156994,True,13.83720935905517,13.122174390811908,-0.011649072084310652
LEFT,0.6798800000000114,9.403845962962597,2.547566181381575,True,13.116055514066856,13.852350470500216,0.0116290965749406
RIGHT,0.6801199999999881,9.403325308695813,-2.5394613726417163,True,14.369357591934419,13.665497882883969,-0.01164404240461614
LEFT,0.6799500000000052,9.421079146446779,2.5475525564572665,True,13.66508345231112,13.682809857810037,0.011627247088707549
RIGHT,0.69986999999999,9.62262550915343,-2.6209553595309507,True,13.65890081764796,13.667436112326989,0.0
LEFT,0.7400400000000076,10.27859428527811,2.8500567423827374,True,13.673416176257183,13.846782183796398,-1.2878587085651816e-14
RIGHT,0.6199500000000029,8.529094358094834,-2.259897506632332,True,13.848627683220423,13.122953878254734,-0.011637843806782774
LEFT,0.6798500000000018,9.404122299570782,2.5359876941295587,True,13.671173996524566,13.684531561987022,0.011622500013094061
RIGHT,0.6999600000000044,9.622618911072266,-2.6093625543020518,True,14.350795061268032,13.687065921449358,1.1796119636642288e-15
LEFT,0.7401200000000046,10.060095415289481,2.7802571052646727,True,13.666989401491435,13.850432437476323,4.640765419061665e-06
RIGHT,0.739689999999996,10.278587474138373,-2.8539730601234283,True,13.875248029598167,13.674371509659245,-5.139247697613647e-06
LEFT,0.8000899999999973,10.93488543202275,3.071021052560879,True,13.850886709010346,13.849351006285652,-3.265987573719542e-07
RIGHT,0.5,6.998368515705027,-1.7706587137239707,True,13.85074561772337,13.83999215170656,-0.009971238260526594
LEFT,0.6402199999999993,8.966649206747494,2.363165160879205,True,13.690816038070759,13.119974645442863,-6.661338147750939e-15
RIGHT,0.4996799999999979,6.779645693202971,-1.7473096669857302,True,13.85300157034739,13.718669034762447,-1.0658141036401503e-14
LEFT,0.5798099999999948,7.873172452908774,2.093878595715301,True,13.848415053534936,13.690156778998102,8.005354152906818e-07
