action,tick,pulse_id,window_index,distance_cells,heading_change_radians
STRAIGHT,pre-pulse,movement_calibration_steering.csv:4328,0,2.8439668886714675,
RIGHT,1,movement_calibration_steering.csv:4388,1,2.6238004867535363,-0.8315855583158891
RIGHT,2,movement_calibration_steering.csv:4388,2,2.8424003401274742,-0.8737317166497398
STRAIGHT,pre-pulse,movement_calibration_steering.csv:4388,0,2.846322684754478,
LEFT,1,movement_calibration_steering.csv:4439,1,2.8432702797061826,0.8021758726711319
LEFT,2,movement_calibration_steering.csv:4439,2,2.617754516444939,0.8733813368452661
STRAIGHT,pre-pulse,movement_calibration_steering.csv:4439,0,2.6161790526147444,
RIGHT,1,movement_calibration_steering.csv:4500,1,2.6267189256165557,-0.7554125440988027
RIGHT,2,movement_calibration_steering.csv:4500,2,2.8361802923138937,-0.9070548817023605
STRAIGHT,pre-pulse,movement_calibration_steering.csv:4500,0,2.627847988025854,
LEFT,1,movement_calibration_steering.csv:4551,1,2.841313708619272,0.8242443912979387
LEFT,2,movement_calibration_steering.csv:4551,2,2.6267655719181198,0.8370162027876757
STRAIGHT,pre-pulse,movement_calibration_steering.csv:4551,0,2.6341934953517456,
RIGHT,1,movement_calibration_steering.csv:4606,1,2.8445094088734924,-0.7899778227974046
RIGHT,2,movement_calibration_steering.csv:4606,2,2.625186697733246,-0.8737910872769983
STRAIGHT,pre-pulse,movement_calibration_steering.csv:4606,0,3.0645224612060487,
LEFT,1,movement_calibration_steering.csv:4668,1,2.8423075076675617,0.8651314734536331
STRAIGHT,pre-pulse,movement_calibration_steering.csv:4668,0,2.6267063698250492,
LEFT,1,movement_calibration_steering.csv:4734,1,2.6267351763721973,0.7554929683609463
STRAIGHT,pre-pulse,movement_calibration_steering.csv:4734,0,2.8460104720217543,
RIGHT,1,movement_calibration_steering.csv:4927,1,2.8464880649691735,-0.7578360297226459
STRAIGHT,pre-pulse,movement_calibration_steering.csv:4927,0,2.408852934515379,
LEFT,1,movement_calibration_steering.csv:4964,1,2.848030193181436,0.8550360589603484
LEFT,2,movement_calibration_steering.csv:4964,2,2.62014704035029,0.8379137173798522
STRAIGHT,pre-pulse,movement_calibration_steering.csv:4964,0,2.622868815342063,
RIGHT,1,movement_calibration_steering.csv:5013,1,2.624034123361708,-0.7547766907672167
RIGHT,2,movement_calibration_steering.csv:5013,2,2.8425146622576234,-0.9093187580701616
STRAIGHT,pre-pulse,movement_calibration_steering.csv:5013,0,2.8412611635085425,
LEFT,1,movement_calibration_steering.csv:5057,1,2.6291442196811703,0.756105110116233
LEFT,2,movement_calibration_steering.csv:5057,2,2.8400761053932504,0.9065437639507555
STRAIGHT,pre-pulse,movement_calibration_steering.csv:5057,0,2.8422302651558833,
RIGHT,1,movement_calibration_steering.csv:5111,1,2.6222216320447727,-0.7543828431017595
RIGHT,2,movement_calibration_steering.csv:5111,2,2.843370908120956,-0.9091204382601865
STRAIGHT,pre-pulse,movement_calibration_steering.csv:5111,0,2.8437973945734942,
LEFT,1,movement_calibration_steering.csv:5156,1,2.8412182392526666,0.8231907357951784
LEFT,2,movement_calibration_steering.csv:5156,2,2.8452421958162097,0.8374008774029569
STRAIGHT,pre-pulse,movement_calibration_steering.csv:5156,0,2.621704577883488,
RIGHT,1,movement_calibration_steering.csv:5201,1,2.840147466778129,-0.8233992696352971
RIGHT,2,movement_calibration_steering.csv:5201,2,2.6234388600044922,-0.8390559657595491
STRAIGHT,pre-pulse,movement_calibration_steering.csv:5201,0,2.6225852313702784,
LEFT,1,movement_calibration_steering.csv:5246,1,2.624475915346334,0.7543834993453398
LEFT,2,movement_calibration_steering.csv:5246,2,2.846606199888367,0.9078208244610164
STRAIGHT,pre-pulse,movement_calibration_steering.csv:5246,0,2.841687498507166,
